Your doctor will decide how Abseamed will be injected.	Læknirinn mun ákveða hvernig Abseamed verður sprautað.
Your doctor will decide how Binocrit will be injected.	Læknirinn mun ákveða hvernig Binocrit verður sprautað.
Your doctor will decide how Epoetin alfa HEXAL will be injected.	Læknirinn mun ákveða hvernig Epoetin alfa HEXAL verður sprautað.
Your doctor will decide how long you must continue treatment for.	Læknirinn ákveður hversu lengi meðferð þarf að halda áfram.
Your doctor will decide how long you must continue treatment.	Læknirinn mun ákveða hversu lengi skal halda áfram meðferð.
Your doctor will decide how long you must continue treatment.	Læknirinn mun ákveða hversu lengi þú þarft að halda meðferð áfram.
Your doctor will decide how long you or your child should be treated with INOmax.	Læknirinn ákveður hversu lengi þér eða barninu þínu er gefið INOmax.
Your doctor will decide how long you should be treated.	Læknirinn mun ákveða hve lengi þú færð meðferð.
Your doctor will decide how long you should be treated.	Læknirinn ákveður í hve marga daga þú þarft að fá meðferð.
Your doctor will decide how long you should take Benepali and whether retreatment is needed based on your response.	Læknirinn mun ákveða hversu lengi þú átt að nota Benepali og hvort þörf er á endurmeðhöndlun byggt á svörun þinni.
Your doctor will decide how long you should take Enbrel and whether retreatment is needed based on your response.	Læknirinn mun ákveða hversu lengi þú átt að nota Enbrel og hvort þörf er á endurmeðhöndlun byggt á svörun þinni.
Your doctor will decide how long you should take Exalief for.	Læknirinn mun ákveða hve lengi þú átt að taka Exalief.
Your doctor will decide how long you should take Zebinix.	Læknirinn mun ákveða hve lengi þú átt að taka Zebinix.
Your doctor will decide how long you/your childs treatment should last.	Læknirinn þinn mun ákveða hve lengi þú eða barnið þitt þarft á meðferð að halda.
Your doctor will decide how many days treatment you need.	Læknirinn ákveður hversu margra daga meðferð þú þarft.
Your doctor will decide how many treatment cycles are required.	Læknirinn mun ákveða hversu margar meðferðalotur eru nauðsynlegar.
Your doctor will decide how many treatments you need.	Læknirinn ákveður nauðsynlegan fjölda meðferða.
Your doctor will decide how much ABILIFY solution for injection you need and how long you need it for.	Læknirinn ákveður hvað þú þarft stóran skammt af ABILIFY stungulyfi, lausn og hve lengi þú þarft að nota það.
Your doctor will decide how much Cancidas you need and for how long each day.	Læknirinn mun ákveða hversu mikið Cancidas þú þarft og hversu lengi þú þarft að fá það daglega.
Your doctor will decide how much Caspofungin Accord you need and for how long each day.	Læknirinn mun ákveða hversu mikið Caspofungin Accord þú þarft og hversu lengi þú þarft að fá það daglega.
Your doctor will decide how much Cosentyx you need and for how long.	Læknirinn mun ákveða hversu mikið af Cosentyx þú þarft og í hversu langan tíma.
Your doctor will decide how much Doribax you need and for how long.	Læknirinn mun ákveða hversu mikið og hve lengi Doribax er gefið.
Your doctor will decide how much medicine to give you.	Læknirinn mun ákveða hversu mikið af lyfinu þú færð.
Your doctor will decide how much medicine you will take and how often.	Læknirinn mun ákveða hvað þú eigir að nota mikið af lyfinu og hversu oft.
Your doctor will decide how much medicine you will take and how often.	Læknirinn mun ákveða hvað þú eigir að taka mikið af lyfinu og hversu oft.
Your doctor will decide how much Nonafact you require.	Læknirinn mun ákveða hvaða skammt af Nonafact þú þurfir að fá.
Your doctor will decide how much Rienso to give you based on your weight and blood test results.	Læknirinn mun ákveða hversu mikið af Rienso á að gefa þér á grundvelli líkamsþyngdar þinnar og niðurstaðna úr blóðprufum.
Your doctor will decide how much Stelara you need to receive and for how long.	Læknirinn ákveður hve mikið Stelara þú þarft að fá og í hve langan tíma.
Your doctor will decide how much Stelara you need to use and for how long.	Læknirinn ákveður hve mikið Stelara þú þarft að nota og í hve langan tíma.
Your doctor will decide how much Taltz you need and for how long.	Læknir þinn mun ákveða það magn Taltz sem hentar þér og lengd meðferðarinnar.
Your doctor will decide how much to give you.	Læknirinn mun ákveða ráðlagðan skammt.
Your doctor will decide how much ZYPADHERA you need and how often you need to be given an injection.	Læknirinn ákveður hversu mikið þú þarft að fá af ZYPADHERA og hve oft þú þarft að fá sprautu.
Your doctor will decide how much ZYPREXA you need and how long you need it for.	Læknirinn ákveður hve mikið ZYPREXA þú þarft og hve lengi þú þarft að fá það.
Your doctor will decide how often you will be given the medicine and if you need a change in the dose.	Læknirinn ákveður hversu oft þér verður gefið lyfið og hvort breyta þurfi skammti.
Your doctor will decide how to proceed with the treatment.	Læknirinn ákveður hvernig meðferðinni skuli haldið áfram.
Your doctor will decide how to treat you, including stopping the drug and monitoring for signs of ill effects.	Læknirinn mun ákveða meðferð þína, þ. á m. stöðva gjöf lyfsins og hafa eftirlit með einkennum um aukaverkanir.
Your doctor will decide how to treat you, including stopping the medicine and monitoring for signs of side effects.	Læknirinn mun ákveða meðferð þína, þ.m.t. hvort hætta þurfi að gefa lyfið og fylgjast með einkennum um aukaverkanir.
Your doctor will decide how to treat you, including stopping the treatment and monitoring for signs of ill effects.	Læknirinn mun ákveða meðferð hvers og eins, þ.m.t. hvort stöðva þurfi meðferð og fylgjast með einkennum um aukaverkanir.
Your doctor will decide if abnormal blood tests mean that you should have bone marrow tests or if you should stop taking Nplate.	Læknirinn mun ákveða hvort þörf er á beinmergsprófum í kjölfar óeðlilegra niðurstaðna úr blóðprófum eða hvort stöðva skuli notkun Nplate.
Your doctor will decide if additional doses of Rienso are needed and for how long.	Læknirinn mun ákveða hvort þörf er á fleiri skömmtum af Rienso og í hve langan tíma.
Your doctor will decide if Altargo can be used for a child aged less than 2 years old who is taking other medicines.	Læknirinn mun ákveða hvort nota megi Altargo hjá barni yngri en 2 ára sem tekur önnur lyf.
Your doctor will decide if and when you may restart the treatment.	Læknirinn mun ákveða hvort og hvenær þú mátt hefja meðferðina að nýju.
Your doctor will decide if and when you may restart the treatment:	Læknir mun ákveða hvort og hvenær óhætt er að hefja meðferð á ný:
Your doctor will decide if CEPROTIN may be used during pregnancy and lactation.	Læknir mun ákveða hvort nota megi CEPROTIN á meðgöngu eða meðan barn er haft á brjósti.
Your doctor will decide if further tests are necessary and whether Hizentra should be continued.	Læknirinn mun ákveða hvort frekari rannsókna sé þörf og hvort halda skuli áfram að nota Hizentra.
Your doctor will decide if Humira should be used with methotrexate or alone.	Læknirinn ákveður hvort Humira verði notað með metotrexati eða eitt sér.
Your doctor will decide if it is right for you to take them.	Læknirinn mun ákveða hvort þú eigir að taka slíkt.
Your doctor will decide if it is right for you to take them.	Læknirinn þinn mun ákveða hvort rétt er fyrir þig að taka þau.
Your doctor will decide if it needs treatment or further investigations.	Hann mun ákveða hvort þú þarfnast meðhöndlunar eða frekari rannsókna.
Your doctor will decide if Omidria is suitable for you.	Læknirinn mun ákveða hvort Omidria henti þér.
Your doctor will decide if Pelzont is right for you.	Læknirinn ákveður hvort Pelzont hentar.
Your doctor will decide if the active substances are suitable for you.	Læknirinn tekur ákvörðun um hvort virku efnin henta þér.
Your doctor will decide if these medicines are suitable for you to take with Telzir and ritonavir.	Læknirinn sker úr um hvort þessi lyf henta með Telzir og rítónavíri.
Your doctor will decide if this medicine is appropriate for you.	Læknirinn mun ákveða hvort þetta lyf hentar þér.
Your doctor will decide if this treatment is right for you.	Læknirinn mun ákveða hvort þessi meðferð hentar þér.
Your doctor will decide if Tredaptive is right for you.	Læknirinn ákveður hvort Tredaptive hentar.
Your doctor will decide if Trevaclyn is right for you.	Læknirinn ákveður hvort Trevaclyn hentar.
Your doctor will decide if you belong to a specific group of patients for which pre-treatment with corticosteroids is to be considered (for example, if you have secondary cancer growths in your brain or spinal cord).	Læknirinn mun ákveða hvort þú tilheyrir þeim sérstaka hópi sjúklinga sem íhuga þarf hvort veita eigi formeðferð með barksterum (t.d. ef þú ert með meinvörp í heila eða mænu).
Your doctor will decide if you can be given Benlysta.	Læknirinn mun ákveða hvort þú megir fá Benlysta.
Your doctor will decide if you can be given Benlysta. if you are planning to get vaccinated or have recently had a vaccination (within the last 30 days).	Læknirinn mun ákveða hvort þú megir fá Benlysta. ef þú ráðgerir að fá bólusetningu eða hefur nýlega fengið bólusetningu (á síðustu 30 dögum).
Your doctor will decide if you can use Eperzan, and will explain the symptoms of pancreatitis (see section 4).	Læknirinn ákveður hvort þú getur notað Eperzan og mun útskýra einkenni brisbólgu (sjá kafla 4).
Your doctor will decide if you can use Relistor if you are pregnant.	Læknirinn mun ákveða hvort þú megir nota Relistor á meðgöngu.
Your doctor will decide if you can use this medicine during pregnancy and breast-feeding.	Læknirinn mun taka ákvörðun um það hvort þú getir notað lyfið á meðgöngu og við brjóstagjöf.
Your doctor will decide if you need to stop being given Benlysta.	Læknirinn ákveður hvort hætta þurfi að gefa þér Benlysta.
Your doctor will decide if you should be given Sivextro to treat your infection.	Læknirinn ákveður hvort nota skuli Sivextro til að meðhöndla sýkinguna.
Your doctor will decide if you should be treated with Lixiana and if you should be kept under observation.	Læknirinn mun ákveða hvort þú færð Lixiana og hvort haft verði eftirlit með þér.
Your doctor will decide if you should receive concomitant supportive therapy.	Læknirinn mun ákveða hvort ætti að gefa samhliða stuðningsmeðferð.
Your doctor will decide if you should receive concomitant supportive therapy.	Læknirinn mun ákveða hvort þú átt að fá samtímis stuðningsmeðferð.
Your doctor will decide if you should receive Humira.	Læknirinn mun ákveða hvort þú átt að nota Humira.
Your doctor will decide if you should receive Humira.	Læknirinn ákveður hvort þú eigir að nota Humira.
Your doctor will decide if you should receive Optaflu.	Læknirinn mun ákveða hvort þú átt að fá Optaflu.
Your doctor will decide if you should receive Simponi.	Læknirinn metur hvort Simponi henti þér.
Your doctor will decide if you should stop using Nplate.	Læknirinn mun ákveða hvort þú hættir að nota Nplate.
Your doctor will decide if you should take this medicine while breast-feeding.	Læknirinn mun ákveða hvort þú eigir að nota þetta lyf meðan á brjóstagjöf stendur.
Your doctor will decide if your child should receive Humira.	Læknirinn ákveður hvort barnið eigi að nota Humira.
Your doctor will decide if your dose needs to be changed.	Læknirinn mun taka ákvörðun um hvort breyta þurfi PecFent skammtinum.
Your doctor will decide if your dose needs to be changed.	Læknirinn ákveður hvort breyta þurfi skammtinum.
Your doctor will decide if your PecFent dose needs to be changed.	Læknirinn mun taka ákvörðun um hvort breyta þurfi PecFent skammtinum.
Your doctor will decide if your treatment should be continued with an alternative medicine.	Læknirinn ákveður hvort halda skal áfram meðferðinni með öðru lyfi.
